Timestamp,Date,Location,Category,Spent,Received,Budget,Purchased By,Item For
12/9/2017 9:09:41,"Dec 9, 2017",Tully’s,Out to Eat,5.99,0.00,0.00,Anna,Anna
12/9/2017 14:15:59,"Dec 9, 2017",Amazon Fresh,Groceries,72.55,0.00,0.00,Tyler,Tyler
12/6/2017 17:29:51,"Dec 6, 2017",Gene Juarez,Hair Product,29.73,0.00,0.00,Anna,Anna
12/9/2017 14:42:38,"Dec 6, 2017",Gene Juarez,Hair Product,29.73,0.00,0.00,Anna,Anna
12/9/2017 14:40:57,"Dec 5, 2017",Target,Gifting,33.02,0.00,0.00,Anna,Anna
12/9/2017 14:40:26,"Dec 4, 2017",Guardian Water,Utilities,81.24,0.00,0.00,Anna,Both
12/9/2017 14:41:35,"Dec 4, 2017",GAP,Clothing,65.04,0.00,0.00,Anna,Anna
12/9/2017 14:15:32,"Dec 3, 2017",Amazon Fresh,Groceries,64.49,0.00,0.00,Anna,Anna
12/9/2017 14:17:26,"Dec 3, 2017",Amazon,Groceries,17.41,0.00,0.00,Anna,Anna
12/9/2017 14:18:09,"Dec 3, 2017",Amazon,Gifting,22.65,0.00,0.00,Anna,Anna
12/9/2017 14:39:00,"Dec 3, 2017",GAP,Clothing,150.00,0.00,0.00,Anna,Both
12/9/2017 14:39:24,"Dec 3, 2017",GAP,Clothing,0.00,42.92,0.00,Anna,Anna
12/9/2017 14:39:56,"Dec 3, 2017",J. CREW,Clothing,183.75,0.00,0.00,Anna,Anna
12/9/2017 14:36:23,"Dec 2, 2017",Amazon,Anna's Fun/Extras,2.19,0.00,0.00,Anna,Anna
12/1/2017 22:11:18,"Nov 30, 2017",Rite Aid,Prescriptions,26.42,0.00,0.00,Anna,Anna
12/1/2017 22:12:06,"Nov 30, 2017",Safeway Fuel,Gas,31.96,0.00,0.00,Anna,Anna
12/9/2017 14:14:43,"Nov 29, 2017",Amazon Fresh,Groceries,52.60,0.00,0.00,Tyler,Tyler
12/4/2017 14:42:06,"Nov 28, 2017",QFC,Groceries,24.64,0.00,0.00,Anna,Anna
12/9/2017 14:33:07,"Nov 28, 2017",Cascade Kennels,Dog,325.50,0.00,0.00,Anna,Anna
12/9/2017 14:30:42,"Nov 26, 2017",Beautycounter,Makeup and Skincare,397.48,0.00,0.00,Anna,Anna
12/9/2017 14:31:15,"Nov 26, 2017",Beautycounter,Makeup & Skincare,0.00,29.00,0.00,Anna,Anna
12/9/2017 14:29:10,"Nov 24, 2017",Beachbody On Demand,Fitness,42.94,0.00,0.00,Anna,Anna
12/9/2017 14:29:46,"Nov 24, 2017",Julie's Wearable Art,Anna's Fun/Extras,22.14,0.00,0.00,Anna,Anna
12/9/2017 14:31:54,"Nov 24, 2017",Nordstrom,Clothing,15.27,0.00,0.00,Anna,Anna
12/9/2017 14:33:35,"Nov 24, 2017",Nordstrom,Clothing,19.82,0.00,0.00,Anna,Anna
12/9/2017 14:28:00,"Nov 23, 2017",Concord Coffee,Groceries,17.44,0.00,0.00,Anna,Anna
